21:19:25.315393 [queue=1] packet #1, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:19:25.935480 [queue=0] packet #3, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:21:03.681171 config: drop-rate=0.30, max-delay=1s, seed=1
21:21:03.681534 router is listening at :3000
21:21:11.416785 [queue=1] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 870ms
21:21:12.288906 [queue=0] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:12.290865 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delayed for 590ms
21:21:12.882651 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delivered
21:21:12.887833 [queue=1] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 180ms
21:21:12.888587 [queue=1] packet #1, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=40 is dropped
21:21:12.888703 [queue=1] packet #2, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=29 is dropped
21:21:13.069173 [queue=0] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:15.896003 [queue=0] packet #1, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=40 is dropped
21:21:15.896055 [queue=1] packet #2, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=29 is delayed for 940ms
21:21:16.836464 [queue=0] packet #2, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=29 is delivered
21:21:16.836721 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delayed for 620ms
21:21:17.457928 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delivered
21:21:20.478394 [queue=1] packet #1, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=40 is delayed for 280ms
21:21:20.759566 [queue=0] packet #1, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=40 is delivered
21:21:20.759896 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delayed for 110ms
21:21:20.870983 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delivered
21:21:20.883856 [queue=0] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is dropped
21:21:25.891066 [queue=1] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 60ms
21:21:25.953090 [queue=0] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:25.955013 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is dropped
21:21:30.890721 [queue=1] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 280ms
21:21:30.955019 [queue=2] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delayed for 470ms
21:21:31.173043 [queue=1] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:31.173861 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is dropped
21:21:31.426761 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delivered
21:21:31.427998 [queue=1] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 880ms
21:21:32.309388 [queue=0] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:32.313499 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delayed for 150ms
21:21:32.313613 [queue=2] packet #2, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delayed for 80ms
21:21:32.313716 [queue=2] packet #3, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is dropped
21:21:32.394743 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delivered
21:21:32.395047 [queue=2] packet #2, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 290ms
21:21:32.464646 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delivered
21:21:32.464917 [queue=1] packet #1, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is dropped
21:21:32.686187 [queue=0] packet #2, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:35.700264 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delayed for 310ms
